iteration	errD	errG	D_x	D_G_z1	D_G_z2
118	1.59302	4.03343	0.5447	0.35359	0.02462
119	2.40169	3.23708	0.58537	0.63386	0.05776
120	3.14224	3.22369	0.73329	0.92474	0.04062
121	2.44681	3.86377	0.63556	0.75422	0.02591
122	1.58207	4.22264	0.63653	0.46838	0.01814
123	1.25816	4.29457	0.65547	0.395	0.01648
124	0.96973	4.6636	0.73614	0.36076	0.01259
125	0.60724	4.94806	0.80846	0.23072	0.0102
126	0.48255	5.1213	0.85127	0.21771	0.00943
127	0.55877	5.33917	0.81245	0.24122	0.00776
128	0.47967	5.20157	0.82476	0.19571	0.00978
129	0.5039	5.50152	0.89103	0.28695	0.00821
130	0.59908	4.87444	0.78643	0.23736	0.02186
131	0.99672	4.53942	0.81344	0.45717	0.02785
132	0.91457	4.85444	0.80985	0.36782	0.01881
133	0.70933	4.42523	0.79918	0.25191	0.03223
134	0.49404	4.59223	0.86226	0.20793	0.02607
135	0.38638	4.78155	0.90249	0.18669	0.02686
136	0.33253	5.04274	0.93858	0.19654	0.02373
137	0.27481	5.35332	0.91367	0.15593	0.01171
138	0.17122	5.89918	0.93281	0.08457	0.00738
139	0.11035	5.58437	0.95996	0.05989	0.0075
140	0.11588	5.444	0.97242	0.07056	0.01169
141	0.08835	5.4329	0.97844	0.05714	0.01385
142	0.07014	5.58395	0.9806	0.04504	0.01172
143	0.04464	6.25498	0.98432	0.02591	0.00682
144	0.56664	5.5761	0.99025	0.17599	0.01214
145	0.51386	4.96588	0.94256	0.18729	0.03869
146	0.37841	5.00803	0.95089	0.17851	0.04165
147	0.25539	4.73086	0.95893	0.13459	0.03657
148	0.34326	4.38435	0.90594	0.0949	0.03716
149	1.10585	3.65715	0.95108	0.26808	0.05744
150	1.24284	3.54803	0.97428	0.3471	0.05492
151	0.72533	3.72657	0.96966	0.24832	0.05339
152	0.41762	4.02286	0.96588	0.15794	0.04298
153	0.42294	3.68078	0.92152	0.15328	0.0538
154	0.93952	2.55648	0.84052	0.33771	0.12434
155	0.84144	2.63899	0.86956	0.36149	0.1439
156	0.95871	3.19112	0.85459	0.41372	0.10609
157	0.69368	3.02783	0.84308	0.29715	0.10073
158	0.62807	2.74197	0.88355	0.288	0.10673
159	0.55885	2.59476	0.91485	0.28038	0.11064
160	0.41698	2.64747	0.92772	0.23346	0.10354
161	0.60422	2.59439	0.87892	0.22305	0.10272
162	0.55095	2.50251	0.90909	0.24149	0.11542
163	0.45408	2.7395	0.92158	0.22636	0.09418
164	0.33871	3.22833	0.92671	0.17743	0.0623
165	0.25644	3.49698	0.93291	0.13702	0.0445
166	0.27703	3.65366	0.95339	0.16995	0.03776
167	0.27416	3.42393	0.90749	0.12976	0.04688
168	0.27035	3.42558	0.9361	0.15192	0.05091
169	0.23699	3.5365	0.96201	0.16129	0.04861
170	0.21704	3.66136	0.94319	0.12301	0.04331
171	0.10953	3.86921	0.98623	0.09025	0.02854
172	0.15014	4.28644	0.98765	0.116	0.02135
173	0.12446	4.37904	0.9661	0.07575	0.02006
174	0.09113	4.41445	0.97606	0.05893	0.01926
175	0.09827	4.62096	0.97933	0.07038	0.01552
176	0.0933	5.91326	0.98502	0.07208	0.00847
